日期,,1号线,2号线,3号线,4号线,5号线,6号线,7号线,8号线,9号线,10号线,11号线,12号线,13号线,16号线,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1.16,7611092,1023753,1305578,393298,508651,119261,281326,513836,778154,644869,709867,602593,354566,230237,145103,元旦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.16,7104344,941001,1177666,377679,497884,105115,266114,502385,750419,610908,649123,543293,333566,221420,127771,元旦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1.16,6272726,842521,1016179,379602,472634,95963,250612,445209,638900,508960,517461,495623,299249,187324,122489,元旦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1.16,9126181,1141306,1421920,523173,802087,137349,401641,733072,902324,812111,689075,669539,475380,290866,126338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1.16,9108883,1131500,1414180,516212,806690,135835,399868,739632,910048,807991,691661,659983,479896,296295,119092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.1.16,9286082,1151849,1444940,523677,819761,137691,410095,750206,923712,826297,709520,671591,491997,300615,124131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1.16,9499528,1179215,1475681,532232,833497,143282,414325,763029,951458,845491,731372,685877,505083,309263,129723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.1.16,10038752,1261238,1576627,559000,868395,153484,436147,792034,998484,893668,773225,725045,527491,323988,149926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.1.16,7178055,952148,1103285,403303,560221,111368,296354,539738,764432,606389,601127,536434,352552,234311,116393,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1.16,6235559,817681,971187,362764,483634,94739,259317,460998,657667,506879,517010,488408,306032,199040,110203,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.1.16,9375737,1164179,1456549,527063,826295,140852,411094,752805,930703,830416,716896,683628,498475,307980,128802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.1.16,9553363,1185181,1489596,534240,838808,143171,418595,764596,954770,847580,737743,690191,506348,313414,129130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.1.16,9609320,1198167,1501290,536372,839212,145126,416000,764672,959697,850925,745295,693124,510636,317314,131490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1.16,9614822,1200610,1506427,535445,836617,145534,413615,764203,959668,857015,746721,688196,512006,318197,130568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1.16,10156661,1277465,1622258,561079,870619,155910,435263,793814,1010819,895051,796981,726073,536947,332672,141710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.1.16,7466793,993188,1165484,416800,572671,116907,308035,553252,797873,621899,630384,556952,370777,245354,117217,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.1.16,6318771,835297,1001367,360479,487280,97885,261670,458444,663150,510307,536407,487759,312291,203727,102708,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.1.16,9772350,1224095,1524032,544758,855859,148556,426989,772171,975025,861783,757792,706751,520926,319193,134420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.1.16,9853775,1231677,1547674,543919,860192,146785,424275,777192,989944,866182,774516,703895,528030,327382,132112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.1.16,9873869,1235422,1549434,547695,860522,148540,429140,777014,987545,865141,776897,704776,528341,327860,135542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1.16,9277682,1157203,1464970,511157,812288,139272,401842,731011,920400,809805,728064,662955,501887,313221,123607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.1.16,9612193,1204847,1531860,526845,834856,141327,412488,747376,960465,838496,766287,683021,517009,320897,126419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.1.16,6323619,832542,1001198,352384,498311,93052,265352,461968,680542,519164,542242,463167,314110,209644,89943,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.1.16,5200374,684293,832172,296311,406563,74735,210938,378304,552098,415063,449504,399701,255369,169945,75378,——,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.1.16,9278541,1156990,1460033,511716,812115,137661,397842,733667,928728,815235,729862,669463,496264,311821,117144,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.1.16,9636074,1214414,1520549,533130,841633,141984,413405,752576,960409,839769,762029,685779,522839,325367,122191,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.1.16,9306691,1174245,1459770,515645,815299,137041,399137,738592,927608,812083,726295,663770,506664,316010,114532,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.1.16,9197324,1156047,1446653,506516,809664,135187,393037,722468,926700,803033,719307,651430,502401,312686,112195,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.1.16,9352053,1190308,1494013.0,516942,816938,137343,401893,728081,932122,809194,733571,656400,505810,316408,113030,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.1.16,6879117,937592,1086167,388457,539846,100310,285909,501339,749380,541434,582041,499990,346923,225894,93835,——,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.1.16,6163131,853986,980900,347725,472038,88741,255314,439873,662707,475505,531414,456134,308270,202609,87915,——,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2.16,8809307,1134747,1403732,491867,770958,127050,372336,690448,884675,720900,701530,622383,487408,291925,109348,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.16,8651098,1125465,1389696,477642,754563,122524,365910,671236,876107,701956,693026,597318,480414,287378,107863,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2.16,8277178,1085393,1344772,459267,715511,115088,347406,635594,842146,658500,674694,567138,457298,270273,104098,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.2.16,7407031,984260,1213098,409409,643020,100733,313146,565316,758267,572367,606844,500148,409332,238998,92093,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2.16,6570615,886462,1094133,357349,559924,88308,275124,494014,688730,491939,554535,438976,355715,200684,84722,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2.16,4874542,667816,822330,267217,392542,60701,197982,353690,534481,342069,428039,331900,260480,147769,67526,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.2.16,2814104,375956,434037,155862,218926,36589,116014,212922,342308,191548,245674,205929,148058,87517,42764,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.2.16,3827761,482659,677368,178186,241231,47545,142943,262753,436621,250160,427409,283192,205467,125046,67181,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.2.16,4524263,594832,796630,223288,298482,58014,161076,296932,508000,316005,486133,335629,217441,142494,89307,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.2.16,4572855,618212,832949,234121,302179,55528,161546,307404,523826,334572,412125,330996,217823,146794,94780,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.2.16,4057216,551228,721698,218423,281020,45595,144238,273961,460014,281213,400203,280417,195717,134155,69334,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.2.16,4629906,631152,808443,251442,317216,56053,167672,313277,513548,329293,451773,327110,229938,150247,82742,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.2.16,4340091,608146,750147,267398,320511,54316,164516,294199,470975,303773,377420,311405,212696,136190,68399,春节,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.2.16,6501489,871844,1102685,381404,520284,87059,259748,467541,677402,498519,525711,465147,339789,214580,89776,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.2.16,7711514,1000820,1269338,445487,654874,109303,321276,588231,775950,618522,609312,550837,415665,247302,104597,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.2.16,8316375,1064114,1359809,465818,710291,118356,348346,642208,832444,677866,652974,598264,452899,278897,114089,,春运,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
